UpdatedDate,ItemSku,ItemDocumentNote,ItemImageApprovalDate,ItemImageExpirationDate,ItemImageActiveDate,ItemDocumentValue,UPCTypeName,ItemPrimaryIndicator,ProductStatusnote,ProductName,MarketingName,MarketingDetails,MarketingFeatures,L6_Name,L5_Name,L4_Name,L3_Name,L2_Name,L6_Code,L5_Code,L4_Code,L3_Code,L2_Code
2021-03-15T08:30:07.300Z,5150023913,upc_img_pth_frnt,2020-01-09,2099-12-31,2020-01-09,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,UPCA,N,Active,CRISCO REGULAR SHORTENING 16 OZ                   ,"Crisco Regular Shortening, 16 oz","For more than 115 years, the J.M. Smucker Company has been committed to offering consumers quality products that help bring families together to share memorable meals and moments.",16 oz.,GROCERY,DRY GROCERY,CONDIMENTS OILS AND VINEGAR,OILS AND SHORTENING,SHORTENING,L6-000005,L5-000059,L4-000913,L3-002654,L2-010927
2021-03-15T08:30:07.300Z,7047000596,upc_img_pth_frnt,2015-07-06,2099-12-31,2015-07-06,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,UPCA,N,Active,YOPLAIT GOGURT YGT STRAWBERRY/PUNCH 8/2 OZ        ,Yoplait Gogurt Phinneas & Ferb Summer Punch & Perry Berry Tubes,"A Healthier Way to Go! Healthy Fun: Kids love Go-Gurt® Yogurt! It's fun to eat, with games on every tube and great tasting flavors kids crave. Healthy Bodies: Every serving of Go-Gurt® Yogurt has 10% of the calcium and vitamin D your kids need.",Vitamins A & D Grade A Gluten Free Kosher Dairy Freeze n' Go: Thaws by lunch! Portable Yogurt,GROCERY,DAIRY,RBG JUICE AND YOGURT,YOGURT RFRG DAIRY,KIDS RFRG DAIRY,L6-000005,L5-000065,L4-000660,L3-002966,L2-012476
2021-03-15T08:30:07.300Z,85608200764,upc_img_pth_frnt,2020-10-07,2099-12-31,2020-09-23,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,UPCA,Y,Active,CALIFLOUR PIZZA ARTISAN MARGHERITA 9.25 OZ        ,"Cali'flour Artisan Margherita Pizza, 9.4 oz","A Neapolitan classic, reimagined. Delicious mozzarella, sweet basil, and juicy tomatoes top this cauliflower crust. This pizza is naturally gluten and grain free, and made with simple fresh ingredients. It has 6g net carbs per  pizza and is keto friendly.",Gluten free Grain free,GROCERY,FROZEN FOODS,FROZEN PIZZA AND SNACKS,FROZEN PIZZA,HEALTHY LIVING FRZ,L6-000005,L5-000064,L4-000671,L3-002978,L2-016841
2021-03-15T08:30:07.300Z,4223837755,upc_img_pth_frnt,2016-06-13,2099-12-31,2016-06-13,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,UPCA,Y,Active,HARIBO TWIN SNAKES PEG 5 OZ                       ,"Haribo Twin Snakes Gummi Candy, 5 oz","Haribo Twin Snakes Gummi Candy, 5 oz",Sweet & Sour 5 oz. Peg Bag,GROCERY,GROCERY DSD,CANDY GUM AND MINTS 2022,CANDY NONCHOCOLATE 2022,NONCHOC PEG CANDY 2022,L6-000005,L5-000076,L4-000912,L3-004357,L2-017889
2021-06-04T05:43:52.231Z,1600016961,upc_img_pth_frnt,2021-06-03,2099-12-31,2021-05-26,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,UPCA,Y,Active,GM TRIX FAMILY SIZE 16.1 OZ                       ,Trix Cereal,Trix Cereal is a delicious breakfast cereal for the entire family to enjoy.,6 Fruity Shapes No High Fructose Corn Syrup Good Source of Vitamin D and Calcium Box Tops for Education: Proud to support schools and teachers as an official participating product.,GROCERY,DRY GROCERY,CEREAL PANCAKE AND OATMEAL,READY TO EAT CEREAL,KIDS RTE CEREAL,L6-000005,L5-000059,L4-000624,L3-002673,L2-011022
2021-03-15T08:30:07.300Z,1411391007,upc_img_pth_frnt,2020-01-20,2099-12-31,2019-12-09,http://static.meijer.com/Media/000/14113/0001411391007_1_A1C1_0600.png,UPCA,N,Active,WONDERFUL PISTACHIOS NO SHELLS R/S 12 OZ          ,"Wonderful Pistachios, No Shells, Roasted and Salted Nuts, 12 Ounce Resealable Pouch","One 12 Ounce Resealable Pouch of our Roasted & Salted Wonderful Pistachios Without the Shell Roasted and Salted Wonderful Pistachios have literally come out of their shells. Same delicious taste, but with a little less work for you. Still great for snacking, theyre also a wonderful addition to your culinary creations. Wonderful Pistachios are a smart, healthy choice for folks around the world. Located in Californias fertile San Joaquin Valley, Wonderful Pistachios & Almonds owns, cultivates and harvests more than 75,000 acres of pistachio and almond orchards, and delivers pounds of nuts globally each year. The warm days and cool nights work in harmony with the regions natural soils to create the perfect growing climate. We then carefully tend and harvest each pistachio using the latest in sustainable practices.","One 12 Ounce Resealable Pouch of our Roasted & Salted No Shells Wonderful Pistachios. These Wonderful Pistachios have come out of their shells. We do the crackin, you do the snackin. Pistachios are a plant based protein Gluten Free Non-GMO Project Verified Kosher Certified Halal Certified THE FIT NUT: Fuel your fitness with The Fit Nut. Theyre tasty little powerhouses of heart-healthy goodness.* THE SKINNY NUT: Go ahead and indulge a little with The Skinny Nut. Known for fiber and protein, pistachios are deliciously fulfilling. THE MINDFUL NUT: Savor each moment with The Mindful Nut. Crack, relax and snack mindfully. Ohmmm. THE COLORFUL NUT: Add some color to your diet with The Colorful Nut. Fun fact: their green and red-purple hues come from vibrant antioxidants. THE HAPPY NUT: Go snack-happy with The Happy Nut. Once you crack one open, youre sure to crack a smile. *Scientific evidence suggests but does not prove that eating 1.5 ounces per day of most nuts, such as pistachios, as part of a diet low in saturated fat and cholesterol may reduce the risk of heart disease. See nutrition information for fat content.",GROCERY,GROCERY DSD,CANDY GUM AND MINTS 2022,NUTS AND SNACKS 2022,PACKAGED NUTS AND SNACKS 2022,L6-000005,L5-000076,L4-000912,L3-004365,L2-017866
2021-04-01T05:43:30.473Z,85192100671,upc_img_pth_frnt,2021-03-31,2099-12-31,2021-03-29,http://static.meijer.com/Media/008/51921/0085192100671_1_A1C1_0600.png,UPCA,Y,Active,SOLA BLUEBERRY LOW CARB BAGELS 4CT/12OZ           ,Sola Blueberry Low Carb Bagels,Keto Friendly low carb Sola Bagels has only 16 net carbs per slice plus 5 grams of protein. It's full of great bluberry flavor and is perfect for the low carb lifestyle with no compromise on taste!,Keto Frendly Low Carb Bagels,GROCERY,GROCERY DSD,BREAD AND PROTEIN SNACKS,BREAKFAST BREAD SS,TRADITIONAL BAGELS,L6-000005,L5-000076,L4-000904,L3-004086,L2-015363
2021-03-15T08:30:07.300Z,85777700421,upc_img_pth_frnt,2020-10-08,2099-12-31,2020-10-05,http://static.meijer.com/Media/008/57777/0085777700421_1_A1C1_0600.png,UPCA,Y,Active,RXBAR COCONUT CHOCOLATE 1.8 OZ                    ,Insurgent Brands Llc Rxbar Coconut Chocolate 1.83oz,"We put the [protein] bar in the coconut. Or vice versa. Made with real food ingredientssweet coconut, 100% chocolate, egg whites for protein, dates to bind and nuts for texture. This gluten-free guilt-free protein bar is a wholesome snack for a healthy lifestyle.",Gluten Free High Protein No Added Sugar,GROCERY,DRY GROCERY,CEREAL PANCAKE AND OATMEAL,PORTABLE BREAKFAST AND SNACKS,NUTRITION BARS,L6-000005,L5-000059,L4-000624,L3-002674,L2-014579
2021-08-11T06:34:46.502Z,85803400616,upc_img_pth_frnt,2021-08-10,2099-12-31,2021-07-28,http://static.meijer.com/Media/008/58034/0085803400616_0_A1C1_0600.png,UPCA,Y,Active,MAYA KAIMAL SAUCE SPICY VINDALOO 12.5 OZ          ,,,,GROCERY,DRY GROCERY,WORLD AND SPECIALTY FOODS,ASIAN FOOD,INDIAN FOOD,L6-000005,L5-000059,L4-000652,L3-002726,L2-011227
2021-09-23T05:43:21.690Z,85571200861,upc_img_pth_frnt,2021-09-22,2099-12-31,2021-09-15,http://static.meijer.com/Media/008/55712/0085571200861_0_A1C1_0600.png,UPCA,Y,Active,DOTS PRETZELS CHEESE CURLS 10.5OZ                 ,"Dot's Homestyle Baked Cheese Curls, 10.5oz",Baked Cheese Curl with our top-secret Original seasoning blend giving these Cheese Curls a cr-r-runchy undeniably amazing flavor.,Original Baked Cheese Curl,GROCERY,GROCERY DSD,COOKIE CRACKER SALTY SNACKS,OTHER SALTY SNACKS,PUFF CHEESE ONION SNACK CHIPS,L6-000005,L5-000076,L4-000629,L3-004349,L2-013661
2021-03-15T08:30:07.300Z,75450204152,upc_img_pth_frnt,2020-10-22,2099-12-31,2020-10-09,http://static.meijer.com/Media/007/54502/0075450204152_0_A1C1_0600.png,UPCA,Y,Active,COPPER FIT ELITE KNEE SLEEVE S/M                  ,"Copper Fit Elite Knee Sleeve, Small/Medium",CopperFit® Elite Knee Compression Sleeve offers strong compression to support your knee.,- Conforms to body's shape - Copper infused to reduce odor - Strong compression level,HEALTH AND BEAUTY,OTC HEALTH CARE,OTC MEDICAL COMPLIANCE,EXTERNAL ANALGESIC AND BRACES,MEDICAL BRACE AND SUPPORT,L6-000001,L5-000002,L4-000567,L3-002518,L2-010267
2021-08-29T06:43:59.800Z,7124965013,upc_img_pth_frnt,2021-08-27,2099-12-31,2021-08-24,http://static.meijer.com/Media/000/71249/0007124965013_0_A1C1_0600.png,UPCA,Y,Active,LO GLOW PARADISE BALM-IN-GLOSS FEATHERY FLEUR     ,"L'Oreal Paris Glow Paradise Lip Balm-in-Gloss with Pomegranate Extract, Feathery Fleur, 0.23 fl. oz","Take your lips to paradise with L'Oreal Paris Glow Paradise Balm-in-Gloss! Wraps lips in a silky liquid balm infused with pomegranate extract and Hyaluronic Acid to pamper lips with care. Sheer, natural color for lips so healthy-looking they glow and a visibly fresher complexion overall. Instantly lips feel moisturized, conditioned and kissably soft. Ultra-gentle, non-sticky formula is dermatologist tested for safety, allergy-tested and suitable for sensitive lips. Available in 12 buildable, dewy shades. Try it with L'Oreal Paris Glow Paradise Balm-in-Lipstick.",Suitable for sensitive lips Dermatologist tested for safety Allergy tested,HEALTH AND BEAUTY,BEAUTY CARE,COSMETICS,COSMETICS LIP,LIP GLOSS,L6-000001,L5-000001,L4-000875,L3-004224,L2-016468
2021-03-15T08:30:07.300Z,30997014304,upc_img_pth_frnt,2020-09-02,2099-12-31,2020-09-02,http://static.meijer.com/Media/003/09970/0030997014304_0_A1C1_0600.png,UPCA,Y,Active,ALMAY LENGHT & LIFT MASCARA BLACK BROWN           ,"Almay Length & Lift Mascara, Black Brown, .24 fl oz","Almay Length & Lift Mascara’s unique 100% plant-derived brush separates lashes for long-lash look. Available in 3 shades and waterproof formula. As always, ophthalmologist tested, hypoallergenic, fragrance free, clean, and cruelty free.","Enriched with blend of plant-based waxes  100% plant-derived brush separates lashes for long-lash look  Free of parabens, phthalates, oils, SLS, DMDM Hydantoin, Formaldehydes, Triclosan  As always, ophthalmologist tested, hypoallergenic, fragrance free, clean, and cruelty free  Available in 3 shades and waterproof formula",HEALTH AND BEAUTY,BEAUTY CARE,COSMETICS,COSMETICS EYE,MASCARA,L6-000001,L5-000001,L4-000875,L3-004222,L2-016452
2021-03-15T08:30:07.300Z,81851201246,upc_img_pth_frnt,2020-03-16,2099-12-31,2020-03-11,http://static.meijer.com/Media/008/18512/0081851201246_2_A1C1_0600.png,UPCA,Y,Active,SPROUT STG 2 POUCH OTML/PCH/CCNUT/MLK/PNAPL 3.5 OZ,Sprout Stage 2 Organic Baby Food Pouch Peach Oatmeal with Coconut Milk & Pineapple 3.5 oz,"Sprout Stage 2 Peach Oatmeal with Coconut Milk & Pineapple is a delicious and hearty puree made with whole, organic fruits, coconut milk, and oats. Sprout Organic Pouches are made only with USDA Certified Organic and Non-GMO ingredients and contain no concentrates, additives, preservatives, or anything artificial.  USDA Certified Organic & Non-GMO  Made with a Full Serving of Fruit  Dairy Free, Kosher, Vegan-Friendly  No Added Sugars  No Concentrates, Flavors, Colors, or Preservatives  Mess Free & perfect for on-the-go mealtimes or snacks 3.5oz CLEAR pouches so you can see what you are feeding your baby. Stage 2 baby food is ideal for babies aged 6 months and up.",6 months and up.,HEALTH AND BEAUTY,BABY,BABY,BABY FOOD TODDLER NUTRITION,BABY ORG POUCH,L6-000001,L5-000039,L4-000519,L3-002883,L2-012171
2021-03-15T08:30:07.300Z,7124962769,upc_img_pth_frnt,2020-08-25,2099-12-31,2020-08-14,http://static.meijer.com/Media/000/71249/0007124962769_0_A1C1_0600.png,UPCA,Y,Active,LO BROW STYLIST DEFINER ASH BROWN                 ,"Loreal Paris Brow Stylist Definer, Ash Brown, .003 oz","Brow Stylist® Definer makes the art of the brow easy. Shape brows with this ultra-fine tip eyebrow pencil - a perfect tool to draw tiny brow hairs and shape brows for a waterproof, well-defined look. The mechanical and retractable brow pencil with spoolie brush is used for combing and blending the perfect brow.",Ultra-fine tip waterproof mechanical eyebrow pencil comes with spoolie  Eyebrow pencil draws tiny brow hairs  Precisely defines eye brow shape  Brow Stylist Definer Waterproof Mechanical Eyebrow Pencil with soft spoolie easily blends,HEALTH AND BEAUTY,BEAUTY CARE,COSMETICS,COSMETICS EYE,EYEBROW AND EYELINER,L6-000001,L5-000001,L4-000875,L3-004222,L2-016450
2021-03-15T08:30:07.300Z,73528221276,upc_img_pth_frnt,2020-10-17,2099-12-31,2020-10-14,http://static.meijer.com/Media/007/35282/0073528221276_0_A1C1_0600.png,UPCA,Y,Active,MUNCHKIN 59S MINI STERILIZER 38287                ,Munchkin Portable UV Sterilizer,"Babies drop things in dirty places at the worst times. The portable Mini Sterilizer sanitizes pacifiers, bottle nipples, and more in under a minute so you can be on your way anywhere. The Mini Sterilizer safely eliminates 99.9% of germs, bacteria, viruses* including Coronavirus (ATCC VR-740, Strain 229E) – a seasonal strain from the same coronavirus family as COVID-19 using just UV light and has been tested by independent labs. No chemicals, heat, or water needed! The Mini Sterilizer's 4 gold-plated UV LED lights are mercury and ozone free and auto shuts-off when the lid is opened. This small device is easy to throw into (or attach to) a purse or diaper bag, so when you need it, it's right at hand. Perfect for use in the home, but extra handy for public spaces such as daycare, playgrounds, doctor's offices, airports, and more! UV light is a safe and proven method of killing bacteria that is used by hospitals to sanitize everything from operating rooms to surgical equipment. Munchkin has partnered with 59S, the leader in UV LED technology, to develop convenient, UV-based sterilizing solutions that help families with young children lead healthier lives.    *Kills Coronavirus, Influenza (flu), e. Coli, Salmonella, Staph, RSV, Kleb, and other common germs.","Kills 99.99% of bacteria & viruses from pacifiers, bottle nipples, teethers, small baby items and even retainers and mouthguards at home or on the go!  Safely kills Staph, E. coli, RSV, Salmonella, Kleb, Influenza (flu), Human Coronavirus (ATCC VR-740, Strain 229E) & other common germs. The SARS-CoV-2 strain that causes COVID-19 was not specifically tested.  Child safe UV light auto shuts-off when lid is opened  Smell the clean! Removes odor causing bacteria and sterilizes without using harmful chemicals  4 Long-Lasting Gold LED beads (instead of mercury bulbs). The device is powered via 3 AA batteries (not included) or USB wall socket (USB cable included). The USB cable powers the device, but does not charge the device. For on-the-go, use 3 AA batteries or connect USB cable to a portable power bank, car charger or laptop  Included strap easily attaches to a purse, Diaper Bag, etc.  Includes a 1-year limited warrantyKills 99.99% of bacteria & viruses from pacifiers, bottle nipples, teethers, small baby items and even retainers and mouthguards at home or on the go!  Safely kills Staph, E. coli, RSV, Salmonella, Kleb, Influenza (flu), Human Coronavirus (ATCC VR-740, Strain 229E) & other common germs. The SARS-CoV-2 strain that causes COVID-19 was not specifically tested.  Child safe UV light auto shuts-off when lid is opened  Smell the clean! Removes odor causing bacteria and sterilizes without using harmful chemicals  4 Long-Lasting Gold LED beads (instead of mercury bulbs). The device is powered via 3 AA batteries (not included) or USB wall socket (USB cable included). The USB cable powers the device, but does not charge the device. For on-the-go, use 3 AA batteries or connect USB cable to a portable power bank, car charger or laptop  Included strap easily attaches to a purse, Diaper Bag, etc.  Includes a 1-year limited warranty",HEALTH AND BEAUTY,BABY,BABY,BABY FEEDING NURSING,PACIFIERS,L6-000001,L5-000039,L4-000519,L3-004329,L2-017610
2021-03-15T08:30:07.300Z,88692651234,upc_img_pth_frnt,2020-02-05,2099-12-31,2020-02-05,http://static.meijer.com/Media/008/86926/0088692651234_2_A1C1_0600.png,UPCA,Y,Active,MEIJER BB VIT D3 1000IU SFGL 250CT                ,"Meijer Vitamin D3 1,000 IU Softgels, 250 ct","Vitamin D is an essential nutrient that works with Calcium to support bone health and assists in maintaining a healthy immune system. Vitamin D absorption decreases as we age. Does not contain artificial color, flavor, sweetener, preservatives, sugar, starch, dairy, lactose, gluten, wheat, yeast, fish or sodium.",High Potency Bone & immune health,HEALTH AND BEAUTY,OTC HEALTH CARE,OTC VITAMINS NUTRITION,VITAMINS AND SUPPLEMENTS,D VITAMIN,L6-000001,L5-000002,L4-000579,L3-002528,L2-010358
2021-03-15T08:30:07.300Z,4155453033,upc_img_pth_frnt,2015-10-14,2099-12-31,2015-10-14,http://static.meijer.com/Media/000/41554/0004155453033_0_A1C1_0600.png,UPCA,Y,Active,MAYB EE TWIN BROW / LINER PENCIL LT BROWN         ,"Maybelline® New York Expert Wear® Twin Brow & Eye Pencils Light Brown, 0.06 oz","Maybelline New York Expert Wear Twin Brow & Eye Pencils are dual-purpose pencils that shape bros and define eyes. Two pencils per pack. Long-wearing, waterproof formula.","Fills brows, lines lids  Blendable color  Waterproof, long-wearing",HEALTH AND BEAUTY,BEAUTY CARE,COSMETICS,COSMETICS EYE,EYEBROW AND EYELINER,L6-000001,L5-000001,L4-000875,L3-004222,L2-016450
2021-08-17T07:12:58.186Z,86000171964,upc_img_pth_frnt,2021-08-16,2099-12-31,2021-08-13,http://static.meijer.com/Media/008/60001/0086000171964_0_A1C1_0600.png,UPCA,Y,Active,CAMILLE ROSE MINT COND SPRAY 8OZ                  ,Camille Rose Spray,Camille Rose Spray,Camille Rose Spray,HEALTH AND BEAUTY,BEAUTY CARE,HAIR CARE,MULTICULTURAL PRODUCTS,ETHNIC HAIR CONDITIONER,L6-000001,L5-000001,L4-000550,L3-002616,L2-010751
